date	CO	O3	NO2
20000101	30.18	0.71	72.18
20000102	22.43	0.78	55.83
20000103	34.77	0.50	92.36
20000104	40.25	0.52	96.64
20000105	40.36	0.62	95.22
20000106	40.46	0.48	108.88
20000107	50.49	0.46	116.02
20000108	46.57	0.48	108.97
20000109	46.44	0.55	105.29
20000110	43.18	0.54	113.19
20000111	38.91	0.58	107.03
20000112	39.62	0.45	110.13
20000113	52.14	0.46	122.13
20000114	54.34	0.52	116.30
20000115	51.60	0.50	122.07
20000116	35.40	0.65	86.87
20000117	41.49	0.48	92.62
20000118	40.10	0.39	96.32
20000119	40.03	0.40	98.26
20000120	33.95	0.47	85.21
20000121	32.67	0.59	82.02
20000122	33.18	0.54	83.16
20000123	36.82	0.50	88.30
20000124	44.20	0.43	110.29
20000125	32.02	0.68	79.10
20000126	26.15	0.69	71.04
20000127	35.97	0.63	83.98
20000128	42.61	0.58	101.33
20000129	36.20	0.74	94.63
20000130	35.78	0.77	93.39
20000131	29.27	0.64	92.90
20000201	35.21	0.64	101.07
20000202	35.44	0.83	92.63
20000203	36.51	0.73	118.45
20000204	36.28	0.62	111.83
20000205	31.59	0.73	85.52
20000206	32.90	0.74	87.23
20000207	40.78	0.62	120.26
20000208	43.22	0.54	127.61
20000209	39.23	0.77	116.16
20000210	31.33	0.84	98.17
20000211	26.63	0.86	92.38
20000212	19.88	0.96	60.71
20000213	22.54	0.88	60.06
20000214	22.70	0.66	71.78
20000215	28.55	0.63	85.70
20000216	31.59	0.77	92.78
20000217	25.01	0.85	72.81
20000218	34.26	0.60	96.86
20000219	32.74	0.85	88.83
20000220	23.71	1.13	59.79
20000221	20.15	0.95	71.96
20000222	28.18	0.87	82.78
20000223	26.27	0.85	83.70
20000224	27.78	0.89	81.13
20000225	23.51	0.82	79.50
20000226	27.89	0.88	68.07
20000227	25.33	1.05	59.55
20000228	20.97	1.02	59.80
20000229	26.86	1.07	85.02
20000301	31.04	0.97	96.81
20000302	29.33	1.08	88.00
20000303	25.39	1.02	93.23
20000304	23.88	1.21	83.38
20000305	21.42	1.42	68.28
20000306	25.71	1.22	94.83
20000307	31.35	1.25	101.29
20000308	24.99	1.32	88.55
20000309	26.90	1.19	88.95
20000310	29.48	0.98	90.88
20000311	29.88	1.05	89.85
20000312	32.02	1.19	86.25
20000313	28.06	1.20	98.55
20000314	31.66	1.20	115.09
20000315	28.51	1.48	101.18
20000316	23.52	1.32	86.88
20000317	24.77	1.35	84.37
20000318	31.00	1.35	91.10
20000319	26.23	1.44	64.73
20000320	20.11	1.47	62.95
20000321	22.13	1.29	83.30
20000322	30.16	1.19	104.65
20000323	30.65	1.24	104.30
20000324	30.26	1.36	103.44
20000325	25.53	1.45	77.99
20000326	25.82	1.56	73.90
20000327	25.23	1.51	80.45
20000328	21.59	1.40	69.92
20000329	23.84	1.26	79.03
20000330	26.68	1.31	90.51
20000331	44.60	1.49	166.77
20000401	44.78	2.03	162.57
20000402	41.76	2.28	130.23
20000403	39.81	1.91	130.42
20000404	36.67	2.01	116.78
20000405	36.33	2.18	121.88
20000406	34.95	2.40	121.70
20000407	34.88	2.17	132.20
20000408	32.85	2.29	88.38
20000409	30.57	2.35	76.52
20000410	34.35	2.06	115.66
20000411	37.90	1.65	145.56
20000412	39.08	1.86	137.10
20000413	36.08	1.91	134.55
20000414	33.35	1.86	129.97
20000415	32.35	1.69	112.15
20000416	33.00	1.91	93.76
20000417	31.50	1.75	100.17
20000418	30.03	1.94	106.68
20000419	32.23	1.96	120.38
20000420	40.34	2.22	127.96
20000421	30.83	2.19	95.53
20000422	30.10	2.29	88.91
20000423	28.01	2.40	80.87
20000424	34.33	2.40	123.73
20000425	36.32	2.28	135.19
20000426	44.09	2.26	165.67
20000427	38.72	2.24	150.62
20000428	32.17	2.21	133.07
20000429	34.54	2.46	125.73
20000430	37.13	2.68	125.52
20000501	39.26	2.71	149.23
20000502	33.63	2.34	128.93
20000503	34.29	2.39	129.57
20000504	31.52	2.64	117.74
20000505	34.85	2.49	124.74
20000506	33.95	2.50	100.93
20000507	32.02	2.30	85.91
20000508	32.81	2.27	104.29
20000509	31.41	2.48	103.87
20000510	27.42	2.24	100.11
20000511	27.04	2.37	107.34
20000512	34.81	2.32	133.61
20000513	33.09	2.49	99.02
20000514	27.02	2.48	78.48
20000515	30.56	2.27	119.10
20000516	30.11	2.73	115.12
20000517	29.25	2.94	112.64
20000518	31.22	2.75	112.62
20000519	33.52	2.00	124.69
20000520	31.11	1.99	114.16
20000521	32.46	2.20	105.05
20000522	33.25	2.26	134.16
20000523	33.56	2.27	129.11
20000524	32.88	2.50	115.77
20000525	28.77	2.30	117.28
20000526	32.00	2.08	130.06
20000527	34.26	1.97	108.13
20000528	30.82	2.30	80.58
20000529	27.15	2.38	71.57
20000530	29.51	2.41	97.25
20000531	31.73	2.52	118.10
20000601	38.68	2.97	149.39
20000602	37.01	3.00	127.90
20000603	30.04	2.51	96.01
20000604	31.96	2.67	93.56
20000605	28.44	2.10	97.82
20000606	30.39	1.93	110.06
20000607	33.75	2.47	122.73
20000608	31.62	2.95	116.90
20000609	30.63	3.46	126.33
20000610	30.48	3.42	102.71
20000611	28.47	2.88	84.41
20000612	33.52	2.01	115.85
20000613	34.85	2.27	117.20
20000614	33.84	2.10	110.56
20000615	32.75	2.14	111.01
20000616	31.31	2.23	95.79
20000617	26.68	2.10	70.88
20000618	25.97	1.84	69.45
20000619	29.88	1.76	98.27
20000620	31.79	2.30	102.66
20000621	31.29	2.36	95.62
20000622	30.50	2.26	104.09
20000623	32.57	2.13	113.89
20000624	32.15	2.73	92.05
20000625	30.08	2.54	78.13
20000626	33.03	2.18	111.71
20000627	31.28	1.92	111.21
20000628	31.81	1.95	126.60
20000629	30.40	2.00	119.49
20000630	32.58	1.98	122.76
20000701	28.98	2.44	106.15
20000702	25.47	2.75	84.97
20000703	24.78	2.32	89.94
20000704	24.25	2.33	68.04
20000705	26.63	2.11	94.84
20000706	26.57	2.04	103.44
20000707	24.86	2.21	87.85
20000708	24.36	2.42	84.82
20000709	25.50	3.08	75.76
20000710	27.01	2.57	85.08
20000711	26.09	2.26	94.58
20000712	26.87	2.27	99.10
20000713	30.85	2.30	120.81
20000714	33.78	2.54	126.38
20000715	27.96	2.47	85.40
20000716	29.06	2.38	83.77
20000717	32.99	2.17	117.34
20000718	36.01	2.45	123.35
