State	NO2	O3	SO2	CO	Date
Alabama	12.06563497	0.012098839	0.771912935	0.211872742	2013
Alabama	9.412271341	0.024632636	1.197450285	0.206143861	2014
Alabama	9.078580207	0.023999967	1.028069163	0.220663757	2015
Alabama	9.524873195	0.028347745	0.859121289	0.208931389	2016
Alaska	11.65850961	0.010306575	5.947267223	0.455231983	2014
Alaska	11.1478255	0.014200752	6.164254041	0.403884908	2015
Arizona	26.53220018	0.023657187	2.300242809	0.747947444	2000
Arizona	22.74798219	0.021625032	1.667860284	0.651818981	2001
Arizona	23.66780026	0.022801819	1.869940741	0.704752085	2002
Arizona	23.10324722	0.022507736	1.803027611	0.630116004	2003
Arizona	20.13382427	0.022607265	1.617168776	0.507584676	2004
Arizona	21.35674227	0.023742904	1.840280443	0.615789798	2005
Arizona	20.83644494	0.025201951	1.690621807	0.557955091	2006
Arizona	19.33187705	0.024248746	1.519152612	0.506916212	2007
Arizona	18.25024043	0.025572684	1.458164283	0.42358442	2008
Arizona	17.15495485	0.0253902	1.176336267	0.42461835	2009
Arizona	15.92167978	0.025896229	1.049323382	0.363256421	2010
Arizona	16.61797275	0.026811492	0.780930837	0.344460231	2011
Arizona	17.83822986	0.026504481	0.915594779	0.344232999	2012
Arizona	15.47952767	0.027972659	0.729335197	0.321710118	2013
Arizona	16.1167939	0.026556705	0.912432634	0.406042777	2014
Arizona	12.71125376	0.028142608	0.582030188	0.354356306	2015
Arizona	15.81119501	0.022137347	0.407995847	0.467866135	2016
Arkansas	10.78174473	0.024740643	3.150379349	0.587176643	2007
Arkansas	8.991394929	0.02488974	1.766043216	0.441437623	2008
Arkansas	9.14633706	0.024487189	1.726056748	0.424968915	2009
Arkansas	10.00474884	0.02764992	1.292560876	0.401517388	2010
Arkansas	9.982133811	0.027461282	1.365532536	0.431462526	2011
Arkansas	10.56882755	0.027883923	1.304815792	0.473862666	2012
Arkansas	9.791679258	0.025577408	1.299241536	0.402850058	2013
Arkansas	8.862050756	0.023851507	1.141635816	0.378426479	2014
Arkansas	8.612832871	0.024334931	1.125333376	0.305918841	2015
Arkansas	8.661112791	0.026009593	0.677278505	0.321416121	2016
California	17.58160222	0.023672681	1.720995966	0.64755878	2000
California	17.76145958	0.024844929	1.817911002	0.623658577	2001
California	16.75660134	0.026341632	1.626035875	0.599051449	2002
California	15.79721183	0.025646226	1.501031936	0.572931336	2003
California	15.15201892	0.025980271	1.830277427	0.519293128	2004
California	13.96506075	0.025120713	1.65488531	0.457386376	2005
California	14.01529996	0.026273783	1.38474236	0.442643687	2006
California	13.0778974	0.026667387	1.218286538	0.417516146	2007
California	12.97674257	0.026976473	1.089923774	0.38898722	2008
California	12.87473388	0.026157169	1.002674179	0.395787866	2009
California	12.24810878	0.025669943	0.717243484	0.342879562	2010
California	12.28527714	0.026143919	0.708950402	0.35594094	2011
California	11.07284728	0.026876215	0.602780884	0.333573048	2012
California	11.76286017	0.026072363	0.481614509	0.35614815	2013
California	10.88294617	0.026957578	0.489994394	0.338269482	2014
California	10.26807455	0.027550727	0.455505313	0.328099602	2015
California	8.101859627	0.025300654	0.613857268	0.359393115	2016
Colorado	14.90246899	0.017066016	2.162458575	0.615031414	2000
Colorado	25.78340072	0.016376249	2.424493346	0.624578455	2001
Colorado	19.76856672	0.020611989	2.242235092	0.497702697	2002
Colorado	21.10201374	0.019384921	1.98175104	0.548118323	2003
Colorado	21.64520825	0.017202073	1.89786579	0.619114536	2004
Colorado	24.16992608	0.018813407	1.929996517	0.614636162	2005
Colorado	24.64473514	0.020494109	2.088588916	0.568998425	2006
Colorado	23.83502483	0.021691659	1.922335301	0.55198822	2007
Colorado	19.0693841	0.025623759	1.896769249	0.403315175	2008
Colorado	14.23084694	0.026782819	1.391090016	0.357665222	2009
Colorado	16.17247603	0.022958481	1.035236844	0.364520377	2010
Colorado	17.52102948	0.027857723	1.412752459	0.335349569	2011
Colorado	20.30606678	0.026332125	1.33838643	0.372662028	2012
Colorado	14.34269103	0.028709089	1.06459689	0.309741909	2013
Colorado	16.91425136	0.027252689	0.939423998	0.319980452	2014
Colorado	20.04232815	0.024448163	1.032487116	0.38797456	2015
Colorado	23.62382029	0.020989141	1.015169342	0.449277654	2016
Connecticut	17.44416647	0.026086017	3.215906012	0.475583756	2006
Connecticut	12.61999465	0.029019812	1.76329727	0.316991474	2007
Connecticut	10.53673959	0.02607892	1.243744956	0.344388508	2008
Connecticut	10.86337634	0.023751812	1.403198583	0.314125851	2009
Connecticut	9.739028127	0.027474276	0.967631878	0.279255688	2010
Connecticut	8.527017872	0.028971154	0.904941437	0.221551434	2011
Connecticut	7.276309032	0.030193727	0.654490879	0.214201513	2012
Connecticut	7.411335839	0.031194899	0.564602779	0.203300292	2013
Connecticut	7.237452216	0.03038545	0.586975397	0.20178385	2014
Connecticut	8.045103611	0.031103357	0.354454856	0.214750538	2015
Country Of Mexico	20.45152124	0.023011423	1.586384698	0.888994451	2006
Country Of Mexico	20.33864072	0.022467707	1.617737602	0.805019126	2007
Country Of Mexico	20.10993471	0.021160506	1.666051609	0.795493576	2008
Country Of Mexico	23.05758226	0.022389944	5.856947704	1.042813519	2009
Country Of Mexico	18.59104976	0.022187474	1.953793936	0.809284181	2010
Country Of Mexico	22.38600846	0.016842972	3.562941623	0.919220623	2011
Delaware	11.07123298	0.024982754	1.242516317	0.247175758	2011
Delaware	12.4883821	0.026535236	1.008744824	0.266557416	2012
Delaware	10.79212688	0.028940674	0.917820116	0.239470264	2013
Delaware	11.66255922	0.02622979	1.13251452	0.25654545	2014
Delaware	10.04239338	0.028402518	0.742745736	0.299864136	2015
Delaware	13.77105545	0.02515894	0.84385519	0.281311167	2016
District Of Columbia	22.72571731	0.017567396	8.102901945	1.178785615	2000
District Of Columbia	24.47431118	0.020935894	6.700384309	1.072903398	2001
District Of Columbia	24.4410358	0.024150441	6.738692	1.156438718	2002
District Of Columbia	22.64075435	0.019371848	8.365124235	0.893882247	2003
District Of Columbia	20.95640373	0.019498176	6.501373407	0.619777717	2004
District Of Columbia	20.83678836	0.021643572	4.458034069	0.846270718	2005
District Of Columbia	15.96655991	0.026704019	4.54724157	1.113733879	2006
District Of Columbia	15.3248109	0.028543284	5.037442204	1.196828216	2007
District Of Columbia	18.05779924	0.0264677	5.542164683	1.222816475	2008
District Of Columbia	18.30295407	0.023656215	4.548703052	0.863542865	2009
District Of Columbia	17.64391755	0.028239995	3.375376857	0.882144277	2010
District Of Columbia	15.93690029	0.024549046	3.608962774	0.670609247	2011
District Of Columbia	16.2749268	0.025915083	1.67651553	0.594795099	2012
District Of Columbia	11.50814451	0.025501211	0.999849811	0.340994221	2013
District Of Columbia	12.30294337	0.024595138	1.102626569	0.35826178	2014
District Of Columbia	13.22955081	0.026638994	1.266655127	0.273273042	2015
District Of Columbia	12.46064984	0.031057155	0.988630621	0.257842103	2016
Florida	12.45303832	0.026261261	1.964580315	0.726884368	2000
Florida	12.41236393	0.024151405	1.143444003	0.636846527	2001
Florida	11.31396137	0.023168025	0.669506642	0.469160198	2002
Florida	10.92981284	0.02341661	0.663360464	0.439436188	2003
Florida	9.516472522	0.025964045	0.654249219	0.522551725	2004
Florida	8.64435951	0.027013867	0.511311175	0.562046152	2005
Florida	8.519962405	0.029191479	0.396327781	0.387473329	2006
Florida	6.136312015	0.028464311	0.651221177	0.285468759	2007
Florida	5.214251263	0.027827563	0.543036263	0.224047878	2008
Florida	6.027942124	0.028474348	0.123961606	0.336426787	2009
Florida	5.67248939	0.028882025	0.15113195	0.393144755	2010
Florida	5.361869504	0.028131008	0.093423671	0.434528285	2011
Florida	5.406926178	0.026901896	0.061154891	0.383866352	2012
Florida	4.54572687	0.026027166	-0.025211738	0.298495707	2013
Florida	4.979451606	0.026022286	0.107163364	0.456610356	2014
Florida	4.109642248	0.025707593	0.033440168	0.513828385	2015
Florida	5.492868956	0.029212923	0.398801484	0.572797385	2016
Georgia	16.50065643	0.016583522	1.159250848	0.397306696	2010
Georgia	13.38118529	0.022986242	0.885868433	0.331578157	2011
Georgia	11.57887311	0.022055426	0.436468846	0.329925821	2012
Georgia	9.439669562	0.019709375	0.331342196	0.297494161	2013
Georgia	10.42954338	0.020054216	0.349044275	0.313879163	2014
Georgia	9.673003243	0.019226491	0.246545558	0.313938153	2015
